Target,Level,Scope,Path,MessageId,Message
fft-correlator-double,Warning,model,lora_fft_correlator_hdl,hdlcoder:validate:ScalarizePortsVerilogCheck,"When 'TargetLanguage' is 'Verilog', HDL Coder flattens the vector signals to scalars by default. 'ScalarizePorts' setting does not have any effect."
fft-correlator-double,Warning,model,lora_fft_correlator_hdl/DUT,hdlcoder:engine:ReuseRequiresInvariantConstants,"HDL code from identical atomic subsystems can only be shared when the optimization configuration parameter 'Default parameter behavior' is set to 'Inlined'."
fft-correlator-double,Error,block,lora_fft_correlator_hdl/DUT,hdlcommon:nativefloatingpoint:DoubleShouldUseNFP,"The model contains ""Double"" type signals. To generate synthesizable HDL code, either select the ""Use Floating Point"" check box or change the ""Double"" type signals to fixed-point data type. To generate non-synthesizable and simulation-only HDL code, set the ""Check for presence of reals in generated HDL code"" diagnostic to ""Warning"" or ""None""."
fft-correlator-double,Error,block,lora_fft_correlator_hdl/DUT/Confidence,hdlcoder:validate:produnsupportedrnd,"Product block with divide input (/) only supports Zero or Simplest rounding mode. When using Simplest rounding mode, set the ""Signed integer division rounds to"" parameter of your target hardware to 'Zero'. This parameter is found in the Configuration Parameters Hardware Implementation pane."
fft-correlator-double,Error,block,lora_fft_correlator_hdl/DUT/Confidence,hdlcoder:validate:produnsupportedsat,"Product block with divide input (/) only supports Saturation ""On""."
fft-correlator-double,Error,block,lora_fft_correlator_hdl/DUT/FFT_M,hdlcoder:validate:mixeddoubleUnhandled,"The block does not support mixing double, single, half, and/or non-real types at the ports. Use either all the same floating point type or no floating point types."
fft-correlator-double,Error,block,lora_fft_correlator_hdl/DUT/FFT_M,dsphdl:dsphdl:doubletype,"Double and Single data types are not supported for HDL code generation."
fft-correlator-double,Error,block,lora_fft_correlator_hdl/DUT/FFT_N,hdlcoder:validate:mixeddoubleUnhandled,"The block does not support mixing double, single, half, and/or non-real types at the ports. Use either all the same floating point type or no floating point types."
fft-correlator-double,Error,block,lora_fft_correlator_hdl/DUT/FFT_N,dsphdl:dsphdl:doubletype,"Double and Single data types are not supported for HDL code generation."
fft-correlator-fixed,Warning,model,lora_fft_correlator_hdl,hdlcoder:validate:ScalarizePortsVerilogCheck,"When 'TargetLanguage' is 'Verilog', HDL Coder flattens the vector signals to scalars by default. 'ScalarizePorts' setting does not have any effect."
fft-correlator-fixed,Warning,model,lora_fft_correlator_hdl/DUT,hdlcoder:engine:ReuseRequiresInvariantConstants,"HDL code from identical atomic subsystems can only be shared when the optimization configuration parameter 'Default parameter behavior' is set to 'Inlined'."
fft-correlator-fixed,Message,block,lora_fft_correlator_hdl/DUT/Confidence,hdlcoder:validate:ShiftAddDefaultDivRecip,"Generated HDL code for Confidence block has additional latency because the block is using 'ShiftAdd' architecture."
acquisition,Warning,model,lora_acquisition_hdl,hdlcoder:validate:ScalarizePortsVerilogCheck,"When 'TargetLanguage' is 'Verilog', HDL Coder flattens the vector signals to scalars by default. 'ScalarizePorts' setting does not have any effect."
acquisition,Warning,model,lora_acquisition_hdl/DUT,hdlcoder:engine:ReuseRequiresInvariantConstants,"HDL code from identical atomic subsystems can only be shared when the optimization configuration parameter 'Default parameter behavior' is set to 'Inlined'."
joint-timing-cfo,Warning,model,lora_joint_sync_hdl,hdlcoder:validate:ScalarizePortsVerilogCheck,"When 'TargetLanguage' is 'Verilog', HDL Coder flattens the vector signals to scalars by default. 'ScalarizePorts' setting does not have any effect."
joint-timing-cfo,Warning,model,lora_joint_sync_hdl/DUT,hdlcoder:engine:ReuseRequiresInvariantConstants,"HDL code from identical atomic subsystems can only be shared when the optimization configuration parameter 'Default parameter behavior' is set to 'Inlined'."
frequency-estimator,Warning,model,lora_frequency_estimator_hdl,hdlcoder:validate:ScalarizePortsVerilogCheck,"When 'TargetLanguage' is 'Verilog', HDL Coder flattens the vector signals to scalars by default. 'ScalarizePorts' setting does not have any effect."
frequency-estimator,Warning,model,lora_frequency_estimator_hdl/DUT,hdlcoder:engine:ReuseRequiresInvariantConstants,"HDL code from identical atomic subsystems can only be shared when the optimization configuration parameter 'Default parameter behavior' is set to 'Inlined'."
